type	latitude	longitude	name	desc
T	42.5069040	-73.7727642	Schodack Island State Park	Length: 15.12 km (9.395 mi)
T	42.5056378	-73.7690735
T	42.5025988	-73.7686443
T	42.4991798	-73.7676144
T	42.4864519	-73.7708759
T	42.4861352	-73.7740517
T	42.4798201	-73.7741375
T	42.4737213	-73.7725925
T	42.4625087	-73.7761116
T	42.4665632	-73.7782574
T	42.4633323	-73.7789440
T	42.4608567	-73.7766266
T	42.4604637	-73.7774849
T	42.4589748	-73.7761545
T	42.4570424	-73.7757254
T	42.4563455	-73.7746954
T	42.4497873	-73.7740088
T	42.4507378	-73.7801886
T	42.4499774	-73.7809181
T	42.4511180	-73.7819481
T	42.4610167	-73.7818623
T	42.4617608	-73.7815833
T	42.4625523	-73.7816691
T	42.4632488	-73.7813687
T	42.4645184	-73.7815619
T	42.4692963	-73.7823772
T	42.4720835	-73.7844372
T	42.4803810	-73.7840080
T	42.4817744	-73.7842655
T	42.4874742	-73.7834072
T	42.4908305	-73.7823772
T	42.4908305	-73.7816906
T	42.4995688	-73.7768841
T	42.5060900	-73.7731075

