type	latitude	longitude	name	desc
T	38.7908541	-75.1587796	Lewes Public Beach	Length: 6.901 km (4.288 mi)
T	38.7895998	-75.1595950
T	38.7853012	-75.1477718
T	38.7837959	-75.1436520
T	38.7825748	-75.1394248
T	38.7818221	-75.1336312
T	38.7812868	-75.1296401
T	38.7821232	-75.1291680
T	38.7823908	-75.1249623
T	38.7829763	-75.1210570
T	38.7835282	-75.1212716
T	38.7826417	-75.1251554
T	38.7825079	-75.1306915
T	38.7830097	-75.1365924
T	38.7841137	-75.1427507
T	38.7854183	-75.1467633
T	38.7869069	-75.1508188
T	38.7888304	-75.1551747

